"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset","selection_rationale"
"5000108280941","Oat so Simple","Quaker, Quaker Oats","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Rolled flakes, Porridge, Plain porridge","Wholegrain rolled oats","1","a","c","370.0","1.11","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5054269711073","Cocoa Powder","Tesco","en:United Kingdom","Cocoa powder for baking, en:cocoa-powders","cocoa powder, potassium carbonate","1","unknown","e","368.0","0.9","0.08","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0074305001161","APPLE CIDER VINEGAR","BRAGG","France,India,United States,World","Condiments,Sauces,Vinegars,Cider vinegars,Groceries","ORGANIC APPLE CIDER VINEGAR, WATER.","2","not-applicable","a","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"8901088000451","Parachnute 100% Pure Coconut Oil","Parachute","France,India,Somalia","Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Coconut oils","Coconut Oil","2","e","unknown","900.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"6191509900664","Extra Virgin Olive Oil","Terra Delyssa","France, Switzerland, Tunisia, United States, World, en:united-kingdom","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Produits de l'olivier, Huiles, Huiles d'olive, Huiles d'olive vierges extra, Huiles d'olive de Tunisie, Huiles d'olive vierges","First Cold Pressed Extra Virgin Olive Oil","2","b","b","800.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"6191509900671","Extra Virgin Olive Oil","Terra Delyssa","France, United States, World, en:united-kingdom","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Produits de l'olivier,Huiles,Huiles d'olive,Huiles d'olive vierges extra,Huiles d'olive de Tunisie,Huiles d'olive vierges","EXTRA VIRGIN OLIVE OIL","2","b","d","821.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0037600106740","Peanut Butter Spread","Skippy Natural Creamy","United States","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fats,Spreads,Nuts and their products,Plant-based spreads,Vegetable fats,Oilseed purees,Legume butters,Nut butters,Peanut butters","ROASTED PEANUTS, SUGAR, PALM OIL, SALT.","2","c","d","594.0","9.38","1.17","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0096619555505","Organic Creamy Peanut Butter","Kirkland","France,United States","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fats, Spreads, Nuts and their products, Plant-based spreads, Vegetable fats, Oilseed purees, Legume butters, Nut butters, Peanut butters","Dry roasted organic peanuts, sea salt","2","a","c","562.0","3.12","0.508","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0767707001067","Pure Irish Butter Salted","Kerrygold","United States, World","Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Salted butters, Sweet cream butters","Pasteurized cream, salt.","2","e","d","714.0","","1.79","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0074305001321","Apple Cider Vinegar","Bragg","France,United States, World","Condiments, Sauces, Vinegars, Cider vinegars, Groceries","Certified Organic, Raw Apple Cider Vinegar and Purified Water","2","not-applicable","a","0.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0096619032938","Raw & Unfiltered Honey","Kirkland Signature","France, French Polynesia, United States, en:morocco","Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys","organic raw honey","2","d","b","286.0","76.2","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5011835101058","Smooth Peanut Butter imp","Whole earth","France, United Arab Emirates, en:united-kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fats, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters","roasted peanuts (96%), sustainable palm oil, sea salt","2","c","d","645.0","4.2","0.9825","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5000157076427","Light Mayonnaise","Heinz","France, en:united-kingdom","Condiments,Sauces,Mayonnaises,Mayonnaises allégées,en:groceries,matières grasses","Water, Rapeseed Oil 25%, Starch, Pasteurised Free Range Egg 3.5%, Spirit Vinegar, Sugar, Salt, Pasteurised Free Range Egg Yolk 1%, Lemon Juice Concentrate, Preservative (Potassium Sorbate), Mustard Seeds, Spice, Antioxidant (Calcium Disodium EDTA)","2","b","c","267.0","3.0","0.00425","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"50457014","Heinz Seriously Good Squeezy Mayonnaise","Heinz","France, United Kingdom, en:morocco","Condiments, Fats, Sauces, Mayonnaises, Groceries","Rapeseed Oil (68%), Water, Pasteurised Free Range Egg Yolk (5%), Spirit Vinegar, Sugar, Starch, Salt, Mustard Seeds, Spices, Antioxidant (Calcium Disodium EDTA)","2","c","d","644.0","1.5","1.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5011273040209","Organic honey","Rowse","United Kingdom","Breakfasts,Spreads,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys","Organic honey.","2","e","a-plus","329.0","80.8","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
